"wbcode","country","gdp50","gdp90","gdp95","lnd100km","pop100km","lnd100cr","pop100cr","dens65c","dens65i","dens95c","dens95i","landlock","landlneu","airdist","tropicar","troppop","malfal66","malfal94","lhcpc","south","landarea","open6590","newstate","socialst","lifex65","urbpop95","wardum","pop95","zpolar","zboreal","zdestmp","zdestrp","zdrytemp","zwettemp","zsubtrop","ztropics","zwater","eu","safri","sasia","transit","latam","eseasia","region"
"SVK","Slovak Republic",3501,8464,6945.528,0,0,72,75,0,90.72379,0,111.6681,1,0,1010,0,0,0,0,1.689885,0,48080,0,3,1,70.6,58.8,0,5.369,0,0.3832436,0,0,0,0.6167564,0,0,0,0,0,0,1,0,0,"Former Soviet Union & Eastern Europe"
"SWE","Sweden",6738,17695,19187.33,0.301546,0.7042814,30,70,43.88341,7.955152,50.10221,9.082491,0,0,1200,0,0,0,0,-4.60517,0,411620,1,0,0,74.1,83.1,0,8.83,0.0641696,0.7317289,0,0,0,0.1731466,0,0,0.030955,1,0,0,0,0,0,"Western Europe"
"TGO","Togo",547,761,1625.947,0.16769,0.416601,16,41,74.31586,20.96762,186.589,52.64457,0,0,5120,1,0.5758,1,1,-4.60517,0,54390,0,2,0,43,30.7,0,4.085,0,0,0,0,0,0,0.0514612,0.9485388,0,0,1,0,0,0,0,"Sub-Saharan Africa"
"THA","Thailand",848,4173,6492.494,0.2725738,0.3929531,28,40,86.4634,50.05057,164.3484,95.13541,0,0,4620,1,0.6276,0.57876,0.47064,2.558825,0,510890,1,0,0,56.7,20,0,58.242,0,0,0,0,0,0,0.3886949,0.5939589,0.0173463,0,0,0,0,0,1,"East and Southeast Asia"
"TTO","Trinidad & Tobago",4537,9310,6437.295,1,1,100,100,174.6589,0,250.8772,0,0,0,3600,1,0,0,0,6.792399,0,5130,0,2,0,65.4,71.7,0,1.287,0,0,0,0,0,0,0.7906977,0,0.2093023,0,0,0,0,1,0,"Latin America & Caribbean"
"TZA","Tanzania",427,599,640,0.088189,0.1681123,9,17,25.41653,12.16442,63.9588,30.61084,0,0,7340,1,0.8399,0.98,1,2.705357,1,883590,0,2,0,44.1,24.2,0,29.646,0,0,0,0,0.0003639,0.0064987,0.8747173,0.072123,0.046297,0,1,0,0,0,0,"Sub-Saharan Africa"
"UGA","Uganda",1149,944,969.7999,0,0,0,0,0,40.30553,0,96.00801,1,1,6220,1,1,0.86,1,-4.60517,0,199650,0.1153846,2,0,46,12.5,1,19.168,0,0,0,0,0,0.0081408,0.7508395,0.1427699,0.0982497,0,1,0,0,0,0,"Sub-Saharan Africa"
"URY","Uruguay",3926,5153,7246.318,0.3123291,0.7245427,49,80,35.73729,6.170832,42.25308,7.295927,0,0,8560,0,0,0,0,-4.60517,1,174810,0.0384615,0,0,68.5,90.3,0,3.184,0,0,0,0,0.100192,0.4719265,0.4230523,0,0.0048292,0,0,0,0,1,0,"Latin America & Caribbean"
"VEN","Venezuela",7424,8139,8544.371,0.2444088,0.691055,56,82,29.15127,4.215568,69.46746,10.0457,0,0,3530,1,0.455,0.09504,0.0704,7.863266,0,882050,0.0769231,0,0,63.7,85.8,0,21.671,0,0,0,0,0,0.0100138,0.4751058,0.4942922,0.0205883,0,0,0,0,1,0,"Latin America & Caribbean"
"VNM","Vietnam",357,1000,1450,0.5702823,0.817741,64,91,168.9086,49.96106,323.6889,95.74315,0,0,3680,1,0.2197,0.74,0.74,2.221091,0,325490,0,2,1,47.9,19.4,1,73.475,0,0,0,0,0,0.0218326,0.800976,0.1450569,0.0321345,0,0,0,0,0,1,"East and Southeast Asia"
"ZAF","South Africa",2251,3719,7437.506,0.19633,0.3671347,20,37,30.37214,12.78999,63.49022,26.73631,0,0,8930,0.0378,0,0,0,1.104249,1,1221040,0,0,0,51.9,49.3,0,41.457,0,0,0.1000026,0.1820969,0.398491,0.0157704,0.2923569,0.002942,0.0083402,0,1,0,0,0,0,"Sub-Saharan Africa"
"ZAR","Zaire",636,458,915.5263,0.0039869,0.0158301,1,3,30.75152,7.652775,76.79647,19.11145,0,0,6420,1,0.9892,1,1,0.9401177,1,2267050,0,2,0,44.1,28.7,0,43.848,0,0,0,0,0.0026333,0.0040237,0.775076,0.2060904,0.0121766,0,1,0,0,0,0,"Sub-Saharan Africa"
"ZMB","Zambia",733,818,853.0184,0,0,0,0,0,4.861513,0,12.07711,1,1,7820,1,1,1,1,-4.60517,1,743390,0,2,0,45.3,43,0,8.978,0,0,0,0,0,0,0.972663,0.0248996,0.0024374,0,1,0,0,0,0,"Sub-Saharan Africa"
"ZWE","Zimbabwe",1023,1592,2156.414,0,0,0,0,0,11.54453,0,28.46323,1,1,8190,1,1,1,0.7,-4.60517,1,386850,0,2,1,49,31.8,0,11.011,0,0,0,0,0,0,0.9341329,0.065867,0,0,1,0,0,0,0,"Sub-Saharan Africa"
